int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
164	GeForce GTX 1070 Ti	14661	884	geforce gtx 1070 ti
165	GeForce GTX 1070 Ti	14661	884	geforce gtx 1070 ti 8gb
166	GeForce GTX 1070 Ti	14661	884	geforce gtx 1070ti
167	GeForce GTX 1070 Ti	14661	884	geforce gtx 1070ti 8gb
168	GeForce GTX 1070 Ti	14661	884	geforce rtx 1070 ti
169	GeForce GTX 1070 Ti	14661	884	geforcegtx1070ti
170	Radeon RX 5700	14660	915	radeon rx 5700
171	Radeon RX 5700	14660	915	asus radeon rx 5700
172	Radeon RX 5700	14660	915	radeonrx5700
173	Radeon RX Vega 64	14638	811	radeon rx vega 64
174	Radeon Pro Vega 64X	14631	948	radeon pro vega 64x
175	GeForce RTX 2070 Super with Max-Q Design	14133	659	geforce rtx 2070 super with max-q design
176	RTX A2000 12GB	14109	1058	rtx a2000 12gb
177	GeForce RTX 2060	14037	753	geforce rtx 2060
178	GeForce RTX 2060	14037	753	geforce gtx 2060
179	GeForce RTX 2060	14037	753	geforce gtx 2060 6g
180	GeForce RTX 2060	14037	753	geforce gtx 2060 6gb
181	GeForce RTX 2060	14037	753	geforce gtx 2060 8gb
182	GeForce RTX 2060	14037	753	geforce rtx 2060 6g
183	GeForce RTX 2060	14037	753	geforce rtx 2060 6gb
184	GeForce RTX 2060	14037	753	geforce rtx 2060 8g
185	GeForce RTX 2060	14037	753	geforce rtx2060 6g
186	GeForce RTX 2060	14037	753	geforce rxt 2060
187	GeForce RTX 2060	14037	753	geforcertx2060
188	GeForce RTX 2060	14037	753	geforec rtx 2060
189	Quadro RTX 5000 with Max-Q Design	13950	605	quadro rtx 5000 with max-q design
190	Radeon Pro WX 8200	13926	819	radeon pro wx 8200
191	GeForce GTX 980 Ti	13875	857	geforce gtx 980 ti
192	GeForce GTX 980 Ti	13875	857	geforce gtx 980ti
193	GeForce GTX 980 Ti	13875	857	geforcegtx980ti
194	Radeon RX 5600 XT	13830	908	radeon rx 5600 xt
195	Radeon RX 5600 XT	13830	908	asus radeon rx 5600 xt
196	Radeon RX 5600 XT	13830	908	radeon rx 5600 xt~5700 xt
197	GeForce RTX 2080 Super with Max-Q Design	13671	600	geforce rtx 2080 super with max-q design
198	NVIDIA TITAN X	13660	912	titan x
199	Radeon RX Vega 56	13629	787	radeon rx vega 56
200	RTX A2000	13619	1009	rtx a2000
201	Radeon Vega Frontier Edition	13598	767	radeon vega frontier edition
202	GeForce GTX 1070	13527	859	geforce gtx 1070
203	GeForce GTX 1070	13527	859	geforce gtx 1070 8gb
204	GeForce GTX 1070	13527	859	geforce rtx 1070
205	GeForce GTX 1070	13527	859	geforcegtx1070
206	Radeon RX 6700S	13495	749	radeon rx 6700s
207	Radeon RX 6650M	13472	746	radeon rx 6650m
208	Radeon Pro WX 9100	13430	805	radeon pro wx 9100
209	GeForce RTX 2080 with Max-Q Design	13271	550	geforce rtx 2080 with max-q design
210	GeForce RTX 2080 with Max-Q Design	13271	550	geforcertx2080withmax-qdesign
211	GeForce GTX TITAN X	13211	855	geforce gtx titan x
212	Radeon RX 6700M	13174	607	radeon rx 6700m
213	GeForce RTX 3060 Laptop GPU	13134	576	geforce rtx 3060 laptop
214	Radeon PRO W6600X	13113	856	radeon pro w6600x
215	Quadro RTX 4000 with Max-Q Design	13029	580	quadro rtx 4000 with max-q design
216	GeForce GTX 1660 SUPER	12788	820	geforce gtx 1660 super
217	GeForce GTX 1660 SUPER	12788	820	geforce rtx 1660 super
218	GeForce GTX 1660 SUPER	12788	820	geforce rtx 1660s
219	GeForce GTX 1660 SUPER	12788	820	geforcegtx1660super
220	Radeon Pro Vega 64	12779	796	radeon pro vega 64
221	Radeon RX 5600 OEM	12738	1015	radeon rx 5600 oem
222	RTX A3000 Laptop GPU	12738	476	rtx a3000 laptop
223	Quadro P5200	12737	693	quadro p5200
224	Radeon 6700	12734	806	radeon 6700
225	GeForce RTX 3050	12697	929	geforce rtx 3050
226	Radeon Pro 5700 XT	12687	829	radeon pro 5700 xt
227	Quadro P5200 with Max-Q Design	12659	507	quadro p5200 with max-q design
228	Tesla T10	12650	595	tesla t10
229	Quadro RTX 4000 (Mobile)	12586	568	quadro rtx 4000 mobile
230	Radeon Pro Vega 56	12564	814	radeon pro vega 56
231	GeForce RTX 2070 (Mobile)	12354	601	geforce rtx 2070 mobile
232	Radeon RX 6600M	12277	639	radeon rx 6600m
233	Radeon RX 6850M	12274	714	radeon rx 6850m
234	Radeon Pro V520 MxGPU	12258	525	radeon pro v520 mx
235	Radeon Ryzen 7 7700X 8-Core	12172	994	radeon ryzen 7 7700x 8-core
236	Quadro P5000	12063	687	quadro p5000
237	Radeon RX 6800M	12049	574	radeon rx 6800m
238	Quadro M6000	11958	764	quadro m6000
239	GeForce RTX 2070 with Max-Q Design	11923	496	geforce rtx 2070 with max-q design
240	GeForce RTX 2070 with Max-Q Design	11923	496	geforcertx2070withmax-qdesign
241	GeForce GTX 1660 Ti	11900	705	geforce gtx 1660 ti
242	GeForce GTX 1660 Ti	11900	705	geforce gtx 1660ti
243	GeForce GTX 1660 Ti	11900	705	geforce gtx 1660ti 6gb
244	GeForce GTX 1660 Ti	11900	705	geforce rtx 1660 ti
245	GeForce GTX 1660 Ti	11900	705	geforce rtx 1660 ti 6
246	GeForce GTX 1660 Ti	11900	705	geforce rtx 1660ti
247	GeForce GTX 1660 Ti	11900	705	geforcegtx1660ti
248	GeForce GTX 1660 Ti	11900	705	nvdia gefore gtx 1660 ti
249	Quadro M6000 24GB	11879	733	quadro m6000 24gb
250	Quadro P4200 with Max-Q Design	11869	583	quadro p4200 with max-q design
251	Radeon Pro 5700	11844	829	radeon pro 5700
252	GeForce GTX 1660	11742	796	geforce gtx 1660
253	GeForce GTX 1660	11742	796	geforce gtx 1660 6g
254	GeForce GTX 1660	11742	796	geforce gtx 1660 6gb
255	GeForce GTX 1660	11742	796	geforce rtx 1660
256	GeForce GTX 1660	11742	796	geforcegtx1660
257	GeForce GTX 1660	11742	796	nvdia gefore gtx 1660
258	GeForce RTX 3050 OEM	11557	887	geforce rtx 3050 oem
259	GeForce GTX 1080 with Max-Q Design	11483	743	geforce gtx 1080 with max-q design
260	Radeon Ryzen 9 7950X 16-Core	11434	827	radeon ryzen 9 7950x 16-core
261	Quadro P4000	11425	823	quadro p4000
262	GeForce RTX 2060 (Mobile)	11355	540	geforce rtx 2060 mobile
263	Radeon Pro Vega 48	11353	795	radeon pro vega 48
264	Radeon RX 5600	11288	934	radeon rx 5600
265	Radeon RX 5600	11288	934	radeon rx5600
266	GeForce GTX 980	11203	813	geforce gtx 980
267	GeForce GTX 980	11203	813	geforce gfx 980
268	GeForce GTX 980	11203	813	geforcegtx980
269	Quadro RTX 3000	11097	531	quadro rtx 3000
270	RTX A1000 Embedded GPU	11047	1310	rtx a1000 embedded
271	GRID P40-12Q	11028	500	grid p40-12q
272	RTX A2000 8GB Laptop GPU	10945	563	rtx a2000 8gb laptop
273	Tesla T4	10810	570	tesla t4
274	Radeon Pro SSG	10498	601	radeon pro ssg
275	Tesla M40 24GB	10475	333	tesla m40 24gb
276	GeForce GTX 1070 (Mobile)	10465	603	geforce gtx 1070 mobile
277	Quadro P4200	10351	529	quadro p4200
278	Tesla M40	10194	504	tesla m40
279	GeForce GTX 1660 Ti (Mobile)	10176	507	geforce gtx 1660 ti mobile
280	RTX A2000 Laptop GPU	10173	469	rtx a2000 laptop
281	GeForce GTX 1650 SUPER	10085	758	geforce gtx 1650 super
282	GeForce GTX 1650 SUPER	10085	758	geforcegtx1650super
283	GeForce GTX 1060	10069	761	geforce gtx 1060
284	GeForce GTX 1060	10069	761	geforce 1060
285	GeForce GTX 1060	10069	761	geforce gtx 1060 6gb
286	GeForce GTX 1060	10069	761	geforce gtx1060
287	GeForce GTX 1060	10069	761	geforce rtx 1060
288	GeForce GTX 1060	10069	761	geforce rtx 1060 5g
289	GeForce GTX 1060	10069	761	geforce rtx 1060 5gb
290	GeForce GTX 1060	10069	761	geforce rtx 1060 6g
291	GeForce GTX 1060	10069	761	geforcegtx1060
292	Intel Arc A770	10046	655	intel arc a770
293	Radeon R9 Fury X	10039	841	radeon r9 fury x
294	GeForce GTX 1070 with Max-Q Design	10033	444	geforce gtx 1070 with max-q design
295	GeForce GTX 1070 with Max-Q Design	10033	444	geforce gtx 1070 with maxq design
